sentence,word,pos
0,﻿सिकागो,NNP
0,को,PKO
0, गुडम्यान,NNP
0, नाटकघर,NN
0,को ``,YQ
0, द मिसान्थ्रोपी,NNP
0, ‘‘,YQ
0, को,PKO
0, १९,CD
0, अक्टोबर,NNP
0,को,PKO
0, एउटा,CL
0, समिक्षा,NN
0,मा,POP
0, --,YM
0, ``,YQ
0, रिभाइटालाइज्ड,FW
0, क्लासिक्स,FW
0, टेक,FW
0, द,FW
0, स्टेज,FW
0, इन,FW
0, विन्डी,FW
0, सिटी,FW
0," ,",YM
0, ‘‘,YQ
0, लिजर,NNP
0, एन्ड,CC
0, आर्ट्स,NNP
0, --,YM
0, किम,NNP
0, काट्राल,NNP
0,ले,PLE
0, खेलेको,VBKO
0, सेलिमेनी,NNP
0,को,PKO
0, भूमिका,NN
0,को,PKO
0, श्रेय,JJ
0, त्रुटिवश,NN
0, क्रिस्टिना,NNP
0, हाग,NNP
0,लाई,PLAI
0, दिइएको,VBKO
0, थियो,VBX
0, ।,YF
1,सुश्री,NN
1, हाग,NNP
1, एलियान्टी,NNP
1,को,PKO
1, भूमिका,NN
1, खेल्नुहुन्छ,VBF
1, ।,YF
2,रोल्स-रोयस,NNP
2, मोटरकार,NN
2, इन्कर्पोरेटिड,NNP
2,ले,PLE
2, १९९०,CD
2, मा,POP
2,संयुक्त,JJ
2, राज्य,NN
2, अमेरिका,NNP
2,मा,POP
2,यस,DUM
2,को,PKO
2, बिक्री,NN
2, १२००,CD
2, मा,POP
2,स्थिर,JJ
2, हुने,VBO
2, अपेक्षा,NN
2, राखेको,VBKO
2, बतायो,VBF
2, ।,YF
3,पछिल्लो,JJ
3, वर्ष,NN
3, सुबिधा,NN
3, सम्पन्न,JJ
3, गाडी,NN
3, निर्माता,NN
3,ले,PLE
3, संयुक्त,JJ
3, राज्य,NN
3, अमेरिका,NNP
3,मा,POP
3,१२१४,CD
3, वटा,CL
3, कार,NN
3,हरू,HRU
3, बिक्रि,NN
3, गर्यो,VBF
3, ।,YF
4,अध्यक्ष,NN
4, तथा,CC
4, प्रमुख,JJ
4, कार्यकारी,JJ
4, अधिकृत,NN
4, होवार्ड मोशर,NNP
4,ले,PLE
4, उहाँ,PP
4,ले,PLE
4, बेलायत,NNP
4, तथा,CC
4, युरोप,NNP
4,  र,CC
4, सुदूर,JJ
4, पूर्वी,JJ
4, बजार,NN
4,हरू,HRU
4,मा,POP
4, सुबिधा,NN
4, सम्पन्न,JJ
4, गाडी,NN
4, निर्माता,NN
4,हरू,HRU
4,का लागि,POP
4, संवृद्धि,NN
4,को,PKO
4, आशा,NN
4, गरेको,VBKO
4, बताउनुभयो,VBX
4,।,YF
5,बेल,NNP
5, औद्योगिक,JJ
5, संस्था,NN
5,ले,PLE
5, यस,DUM
5,को,PKO
5, त्रैमासिक,JJ
5, लाभांश,NN
5,मा,POP
5, एक,CD
5, सेयर,NN
5,मा,POP
5, ७,CD
5, सेन्ट,NNP
5,बाट,POP
5,  १०,CD
5, सेन्ट,NNP
5,मा,POP
5, बढायो,VBF
5, ।,YF
6,नयाँ,JJ
6, दर,NN
6, फेब्रुअरी,NNP
6, १५,CD
6, मा,POP
6,भुक्तानी,NN
6, हुनेछ,VBF
6, ।,YF
7,रेकर्ड,NN
7, मिति,NN
7, निश्चित,JJ
7, गरिएको,VBKO
7, छैन,VBX
7, ।,YF
8,लस,NNP
8, एन्जल्स,NNP
8,मा,POP
8,रहेको,VBKO
8, बेल,NNP
8,ले,PLE
8, इलेक्ट्रोनिक,JJ
8," ,",YM
8, कम्प्युटर,NN
8, र,CC
8, निर्माण,NN
8, सामग्री,NN
8,हरू,HRU
8, बनाउँछ,VBF
8, र,CC
8, वितरण,NN
8, गर्दछ,VBF
8, ।,YF
9,लगानीकर्ता,NN
9,हरू,HRU
9,ले,PLE
9, धितोपत्र,NN
9, तथा,CC
9, विनिमय,JJ
9, आयोग,NN
9,लाई,PLAI
9, संस्था,NN
9,का,PKO
9, आन्तरिक,JJ
9, सदस्य,NN
9,हरू,HRU
9,ले,PLE
9, गरेको,VBKO
9, स्टक,JJ
9, खरीद,NN
9, र,CC
9, बिक्री,NN
9,बारे,POP
9, जानकारी,NN
9, पाउन,VBI
9,बाट,POP
9,  उनी,PP
9,हरू,HRU
9,लाई,PLAI
9, बञ्चित,JJ
9, नगर्न,VBI
9, आग्रह,NN
9, गरिरहेका,VBKO
9, छन्,VBX
9, ।,YF
10,केही,DUM
10, कम्पनी,NN
10, कार्यकारिणी,NN
10,का,VBKO
10, लागि,POP
10, प्रतिवेदन,NN
10, दिनुपर्ने,VBNE
10, आवश्यकता,NN
10,लाई,PLAI
10, सरलीकृत,JJ
10, गर्ने,VBNE
10, धितोपत्र,NN
10, तथा,CC
10, विनिमय,JJ
10, आयोग,NN
10,को,PKO
10, प्रस्ताव,NN
10,ले,PLE
10, स्टक,JJ
10, सङ्ग्रह,NN
10, गर्ने,VBNE
10, उपकरण,NN
10,को,PKO
10, रूप,NN
10,मा,POP
10, आन्तरिक,JJ
10, व्यापार,NN
10,सम्बन्धी,POP
10, सूचना,NN
10,को,PKO
10, उपयोगिता,NN
10,लाई,PLAI
10," ,",YM
10,  व्यक्तिगत,JJ
10, लगानीकर्ता,NN
10,हरू,HRU
10,लाई,PLAI
10, र,CC
10, व्यावसायिक,JJ
10, मुद्रा,NN
10, प्रबन्धक,NN
10,हरू,HRU
10,को,PKO
10, दाबी,NN
10,लाई,PLAI
10, कमजोर,JJ
10, तुल्याउँछ,VBF
10, ।,YF
11,तिनी,PP
11,हरू,HRU
11, एजेन्सी,NN
11,लाई,PLAI
11, यही,DUM
11, गएको,VBKO
11, गृष्म,NNP
11,मा,POP
11, प्रस्तावित,JJ
11, ती,DUM
11, नियम,NN
11, परिवर्तन,NN
11,हरू,HRU
11,बारे,POP
11, लिखित,JJ
11, तर्क,NN
11, राख्छन्,VBF
11, जस,CS
11,ले,PLE
11, अन्य,DUM
11, विभिन्न,JJ
